"","x"
"1287","ROBO4"
"1288","ANTXR2"
"1289","AC079298.3"
"1290","METAP1D"
"1291","GUCY1A2"
"1292","P2RY13"
"1293","CDHR3"
"1294","CEP55"
"1295","MET"
"1296","COL21A1"
"1297","CCDC141"
"1298","AC090579.1"
"1299","AL392023.2"
"1300","PTGER3"
"1301","AF165147.1"
"1302","AC016042.1"
"1303","C9orf135"
"1304","NCAPG"
"1305","LINC02663"
"1306","AC060834.2"
"1307","NOX4"
"1308","PRKG2"
"1309","NT5DC1"
"1310","DISC1FP1"
"1311","TSHZ1"
"1312","DMD"
"1313","LINC02408"
"1314","UGT8"
"1315","GMDS-DT"
"1316","LINC02223"
"1317","AC022730.4"
"1318","AC113386.1"
"1319","AL390860.1"
"1320","PAWR"
"1321","TP63"
"1322","SH3GL2"
"1323","KCNB2"
"1324","CASC2"
"1325","CA12"
"1326","NMU"
"1327","CDK14"
"1328","AC046195.2"
"1329","AL590807.1"
"1330","PTPN13"
"1331","SCN9A"
"1332","ADAMTS1"
"1333","KCNU1"
"1334","ZFP36L2"
"1335","LDLRAD4"
"1336","OSBPL10"
"1337","TGFB2"
"1338","SASH1"
"1339","ABCA12"
"1340","SPATA16"
"1341","AC015522.1"
